participant_id,recording_identifier,scenario,pedestrian_entry_time,pedestrian_exit_time,vehicle_entry_time,vehicle_exit_time,reached_zone_first,entry_time_difference_seconds,passed_zone_first,exit_time_difference_seconds,occupancy_intervals_overlap,occupancy_overlap_duration_seconds,pedestrian_speed_at_entry_mps,vehicle_speed_at_entry_mps,pedestrian_minimum_approach_speed_mps,vehicle_minimum_approach_speed_mps,pedestrian_stopped_before_entry,vehicle_braked_before_entry,minimum_distance_m,minimum_distance_time,minimum_distance_aligned_time,distance_at_pedestrian_entry_m,distance_at_vehicle_entry_m,closing_rate_at_minimum_distance_mps,approach_state_at_minimum_distance,ttc_at_minimum_distance_seconds,pedestrian_entered_zone,vehicle_entered_zone,data_quality_flags
PedNYC10,PedNYC10_scenario3,3,21.614868,24.651367,29.723999,30.974854,pedestrian,8.109130999999998,pedestrian,6.323487,False,0.0,1.0595321632453614,3.4280963714273813,0.048426331870446,1.7876401311609584e-05,True,False,5.585276649669821,22.484741,11.833496,5.722909548887806,7.823656407956216,-0.01528836536996181,approximately steady,,True,True,
PedNYC11,PedNYC11_scenario3,3,21.360352,26.369385,19.598877,20.977661,vehicle,1.7614749999999972,vehicle,5.391724,False,0.0,0.3901462545652234,2.4374148912533737,0.2880040066690258,1.5949785090923625,False,True,2.261704939969721,20.48645,13.578979,3.0585112686128664,3.291954831003011,-0.028001346243652137,approximately steady,,True,True,
PedNYC12,PedNYC12_scenario3,3,20.536133,24.679443,16.706299,17.831543,vehicle,3.829833999999998,vehicle,6.847899999999999,False,0.0,0.9761800537524368,3.178839288913641,0.4097916482732076,2.742389148148604,False,True,4.166884200917181,17.247803,6.7126470000000005,9.436641264088106,4.48677987954278,-0.062136027112657644,separating,,True,True,
PedNYC13,PedNYC13_scenario3,3,19.521973,23.219238,27.580444,28.455078,pedestrian,8.058471,pedestrian,5.23584,False,0.0,0.8983412482119891,4.69816355399955,0.1017060868811758,0.0002237198491029,True,True,8.113594753763664,27.763306,16.950561999999998,13.946880750300684,8.169958211638551,0.13759619105057652,approaching,58.96671042864357,True,True,
PedNYC15,PedNYC15_scenario3,3,15.007935,18.841553,23.841553,25.800049,pedestrian,8.833618000000001,pedestrian,6.958496,False,0.0,1.147732285041763,2.264858563402786,0.8871844780691549,2.542640410784052e-05,False,True,7.256147914190331,17.174805,8.250243999999999,7.442115238906427,7.576846362744114,-0.002479706016657701,approximately steady,,True,True,
PedNYC16,PedNYC16_scenario3,3,19.178711,22.928955,15.053711,16.261963,vehicle,4.125,vehicle,6.666991999999997,False,0.0,0.9269772128328726,3.5463082395289334,0.6488174324734505,3.5463082395289334,False,True,4.1345607752086115,16.553711,5.708496,9.299471676430624,5.853135900013542,-0.06296931536926564,separating,,True,True,
PedNYC17,PedNYC17_scenario3,3,15.550537,17.800537,20.425781,23.925781,pedestrian,4.875244,pedestrian,6.125244000000002,False,0.0,1.345951977710717,2.1829455598672096,0.0024239194528895,0.0026293817938153,True,True,5.653812303252599,20.092285,19.625488,9.471148706683188,5.757000692983283,0.00269197055041559,approximately steady,,True,True,
PedNYC19,PedNYC19_scenario3,3,23.175049,28.841797,19.633301,20.883301,vehicle,3.541748000000002,vehicle,7.958496,False,0.0,0.7567391550581374,3.5237027319243146,0.3768298173364386,3.5237027319243146,False,True,3.8467652286149616,20.675049,12.541992,7.434819905218279,4.92725487294649,-0.04377865678726067,approximately steady,,True,True,
PedNYC1,PedNYC1_scenario3,3,15.366455,18.316406,23.032715,23.845947,pedestrian,7.666259999999999,pedestrian,5.529540999999998,False,0.0,1.4519023771842228,5.043461991264039,0.720602286588308,4.568784242401743e-06,False,True,7.029136641969976,23.355225,14.676026,11.611881221616459,7.227178420237992,0.013981046753585247,approximately steady,,True,True,
PedNYC21,PedNYC21_scenario3,3,20.845947,24.512695,28.304443,30.721436,pedestrian,7.458496,pedestrian,6.208741,False,0.0,1.087771757666654,1.453786143311251,0.884677824025946,1.453786143311251,False,True,6.909421896915074,27.721191,21.958984,18.478844819045506,7.163423242893253,0.2706172794933508,approaching,25.532079510409986,True,True,
PedNYC22,PedNYC22_scenario3,3,18.634277,22.634521,28.843018,30.884766,pedestrian,10.208741,pedestrian,8.250245,False,0.0,0.774414402719484,2.368832359637012,0.731369301412991,0.0306545365063497,False,True,9.3846115671959,28.42627,17.667237,13.628269632896725,9.438339929608887,0.1380049194114008,approaching,68.00200751699163,True,True,
PedNYC23,PedNYC23_scenario3,3,24.385254,28.09375,22.218384,23.301758,vehicle,2.1668699999999994,vehicle,4.7919920000000005,False,0.0,0.4740009984531281,2.642716923276309,0.007129239778867,7.61601877724219e-05,True,True,2.2988806212357997,22.843506,14.000977,6.0111359747080195,3.008991638249945,0.10075004590402159,approaching,22.81766326365551,True,True,
PedNYC24,PedNYC24_scenario3,3,18.381592,21.339966,24.17334,26.089966,pedestrian,5.791747999999998,pedestrian,4.75,False,0.0,1.2719388034032162,2.017139424898612,0.652888812285143,0.3927372506095833,False,True,5.7955065018987115,23.79834,12.333862,9.056181041983399,5.818814575017929,0.05883390857989923,approaching,,True,True,
PedNYC25,PedNYC25_scenario3,3,21.674561,24.424561,30.549683,32.258057,pedestrian,8.875122000000001,pedestrian,7.833496,False,0.0,1.0401642211253992,2.3962980988735465,0.8269639174341071,2.0267522445886463,False,True,11.145121218676646,32.258057,26.875733,20.89874432395506,11.57093380597031,0.003009381545780343,approximately steady,,True,True,
PedNYC26,PedNYC26_scenario3,3,26.969849,31.011475,22.219727,23.427979,vehicle,4.750122000000001,vehicle,7.583496,False,0.0,0.6977362142701398,2.800157585649045,0.0193974636773359,2.5101132741226166,True,True,3.7997982052887807,22.802979,21.125245,14.356938073469736,4.097254231429446,0.0035584678539493098,approximately steady,,True,True,
PedNYC28,PedNYC28_scenario3,3,21.500244,24.291992,29.166992,30.416992,pedestrian,7.666748000000002,pedestrian,6.125,False,0.0,1.24102023330461,2.9304458362048305,0.5669073941576532,0.0,False,False,6.328999015887803,23.16687,9.833496,6.92506929571309,7.80143881633866,-0.026914951241252538,approximately steady,,True,True,
PedNYC29,PedNYC29_scenario3,3,19.090576,24.21582,31.091064,32.966064,pedestrian,12.000488,pedestrian,8.750244000000002,False,0.0,0.6439652711400867,1.8027204781733448,0.4117094613522185,1.8027204781733448,False,True,6.93131907911915,31.216064,27.91748,24.886014886346533,6.93502248519437,-0.01665352990124802,approximately steady,,True,True,
PedNYC2,PedNYC2_scenario3,3,19.696533,22.868896,16.41333,17.056152,vehicle,3.2832030000000003,vehicle,5.812743999999999,False,0.0,1.2242052746383123,5.466341264092495,0.4642856846073158,5.28876360060726,False,True,4.744184185093767,16.831055,15.616454999999998,17.62403441728854,5.40877737249534,0.11157539671813765,approaching,42.51998491278995,True,True,
PedNYC30,PedNYC30_scenario3,3,17.133179,19.466553,28.133423,36.967041,pedestrian,11.000244000000002,pedestrian,17.500488,False,0.0,1.433447576122837,1.3787539635910957,0.8181618581109961,1.3787539635910957,False,True,12.373170081927725,34.092041,24.834351,28.436362563782108,12.902493069192216,0.0034709544482609545,approximately steady,,True,True,
PedNYC31,PedNYC31_scenario3,3,27.676025,31.717773,61.385498,64.510498,pedestrian,33.709473,pedestrian,32.792725,False,0.0,0.8684419687376745,0.8160387205793334,0.4827489654850564,0.7631300374713745,False,True,8.716676867795146,63.927002,57.126953,37.55953327939522,9.655850322807986,-0.002226796997703673,approximately steady,,True,True,
PedNYC3,PedNYC3_scenario3,3,23.970581,27.60675,20.120239,21.499512,vehicle,3.8503419999999977,vehicle,6.107238000000002,False,0.0,0.686053309943772,1.857296361030116,0.0425186610166533,0.8697631649428763,True,True,2.8654581042511373,21.146667,20.563293,8.291269400615862,3.81006091810999,0.015121564603433058,approximately steady,,True,True,
PedNYC4,PedNYC4_scenario3,3,21.995819,25.612442,32.567947,34.590179,pedestrian,10.572127999999996,pedestrian,8.977736999999998,False,0.0,1.2061066260048776,2.24004899583482,0.3854801379429873,0.3585603696199852,False,True,7.761091431728406,32.612366,19.777497000000004,18.22290256672743,7.768583148031733,0.026159467102999656,approximately steady,,True,True,
PedNYC5,PedNYC5_scenario3,3,19.258911,24.910889,16.0,17.309692,vehicle,3.2589110000000012,vehicle,7.601197000000003,False,0.0,0.3693397342715406,2.381692054278012,0.2119820624103282,2.1338577051095715,False,True,3.098341220055383,16.918579,11.873779,6.111963398776849,4.051818790024322,-0.014672372853290483,approximately steady,,True,True,
PedNYC7,PedNYC7_scenario3,3,26.253418,30.361572,21.55542,23.166992,vehicle,4.697997999999998,vehicle,7.194579999999998,False,0.0,0.7480466343231731,2.7804800274342254,0.3832239904030133,2.7804800274342254,False,True,4.923478621346279,22.993896,8.971435,7.615432381342605,5.673083273546759,0.02070216792471058,approximately steady,,True,True,
PedNYC8,PedNYC8_scenario3,3,17.755859,20.496338,26.520264,28.189697,pedestrian,8.764405,pedestrian,7.693358999999997,False,0.0,1.696817835032701,2.1062380161370915,0.8852131703430478,1.5350934119145807,False,True,9.694104182586827,26.015869,24.356933,19.284169748352085,9.811558220670936,0.18078790370704212,approaching,53.62142037055557,True,True,
PedNYC9,PedNYC9_scenario3,3,18.613037,21.667725,25.52417,26.98584,pedestrian,6.911133000000003,pedestrian,5.318114999999999,False,0.0,0.4890047892710647,2.3922484882034145,0.0668547843234348,0.3000804502318802,True,True,7.41588513944805,25.655273,22.766601,12.736918946245874,7.435466909025748,-0.01924426673993196,approximately steady,,True,True,
